id,POS,NodeType
453,NOUN,synset
454,NOUN,synset
455,NOUN,synset
456,NOUN,synset
457,NOUN,synset
458,NOUN,synset
459,NOUN,synset
460,NOUN,synset
461,NOUN,synset
462,NOUN,synset
463,NOUN,synset
464,NOUN,synset
465,NOUN,synset
466,NOUN,synset
467,NOUN,synset
468,NOUN,synset
469,NOUN,synset
470,NOUN,synset
471,NOUN,synset
472,NOUN,synset
473,NOUN,synset
474,NOUN,synset
475,NOUN,synset
476,NOUN,synset
477,NOUN,synset
478,NOUN,synset
479,NOUN,synset
480,NOUN,synset
481,NOUN,synset
482,NOUN,synset
483,NOUN,synset
484,NOUN,synset
485,NOUN,synset
486,NOUN,synset
487,NOUN,synset
488,NOUN,synset
489,NOUN,synset
490,NOUN,synset
491,NOUN,synset
492,NOUN,synset
493,NOUN,synset
494,NOUN,synset
495,NOUN,synset
496,NOUN,synset
497,NOUN,synset
498,NOUN,synset
499,NOUN,synset
500,NOUN,synset
501,NOUN,synset
502,NOUN,synset
503,NOUN,synset
504,NOUN,synset
505,NOUN,synset
506,NOUN,synset
507,NOUN,synset
508,NOUN,synset
509,NOUN,synset
510,NOUN,synset
511,NOUN,synset
512,NOUN,synset
513,NOUN,synset
514,NOUN,synset
515,NOUN,synset
516,NOUN,synset
517,NOUN,synset
518,NOUN,synset
519,NOUN,synset
520,NOUN,synset
521,NOUN,synset
522,NOUN,synset
523,NOUN,synset
524,NOUN,synset
525,NOUN,synset
526,NOUN,synset
527,NOUN,synset
528,NOUN,synset
529,NOUN,synset
530,NOUN,synset
531,NOUN,synset
532,NOUN,synset
533,NOUN,synset
534,NOUN,synset
535,NOUN,synset
536,NOUN,synset
537,NOUN,synset
538,NOUN,synset
539,NOUN,synset
540,NOUN,synset
541,NOUN,synset
542,NOUN,synset
543,NOUN,synset
544,NOUN,synset
545,NOUN,synset
546,NOUN,synset
547,NOUN,synset
548,NOUN,synset
549,NOUN,synset
550,NOUN,synset
551,NOUN,synset
552,NOUN,synset
553,NOUN,synset
554,NOUN,synset
555,NOUN,synset
556,NOUN,synset
557,NOUN,synset
558,NOUN,synset
559,NOUN,synset
560,NOUN,synset
561,NOUN,synset
562,NOUN,synset
563,NOUN,synset
564,NOUN,synset
565,NOUN,synset
566,NOUN,synset
567,NOUN,synset
568,NOUN,synset
569,NOUN,synset
570,NOUN,synset
571,NOUN,synset
572,NOUN,synset
573,NOUN,synset
574,NOUN,synset
575,NOUN,synset
576,NOUN,synset
577,NOUN,synset
578,NOUN,synset
579,NOUN,synset
580,NOUN,synset
581,NOUN,synset
582,NOUN,synset
583,NOUN,synset
584,NOUN,synset
585,NOUN,synset
586,NOUN,synset
587,NOUN,synset
588,NOUN,synset
589,NOUN,synset
590,NOUN,synset
591,NOUN,synset
592,NOUN,synset
593,NOUN,synset
594,NOUN,synset
595,NOUN,synset
596,NOUN,synset
597,NOUN,synset
598,NOUN,synset
599,NOUN,synset
600,NOUN,synset
601,NOUN,synset
602,NOUN,synset
603,NOUN,synset
604,NOUN,synset
605,NOUN,synset
606,NOUN,synset
607,NOUN,synset
608,NOUN,synset
609,NOUN,synset
610,NOUN,synset
611,NOUN,synset
612,NOUN,synset
613,NOUN,synset
614,NOUN,synset
615,NOUN,synset
616,NOUN,synset
617,NOUN,synset
618,NOUN,synset
619,NOUN,synset
620,NOUN,synset
621,NOUN,synset
622,NOUN,synset
623,NOUN,synset
624,NOUN,synset
625,NOUN,synset
626,NOUN,synset
627,NOUN,synset
628,NOUN,synset
629,NOUN,synset
630,NOUN,synset
631,NOUN,synset
632,NOUN,synset
633,NOUN,synset
634,NOUN,synset
635,NOUN,synset
636,NOUN,synset
637,NOUN,synset
638,NOUN,synset
639,NOUN,synset
640,NOUN,synset
641,NOUN,synset
642,NOUN,synset
643,NOUN,synset
644,NOUN,synset
645,NOUN,synset
646,NOUN,synset
647,NOUN,synset
648,NOUN,synset
649,NOUN,synset
650,NOUN,synset
651,NOUN,synset
652,NOUN,synset
653,NOUN,synset
654,NOUN,synset
655,NOUN,synset
656,NOUN,synset
657,NOUN,synset
658,NOUN,synset
659,NOUN,synset
660,NOUN,synset
661,NOUN,synset
662,NOUN,synset
663,NOUN,synset
664,NOUN,synset
665,NOUN,synset
666,NOUN,synset
667,NOUN,synset
668,NOUN,synset
669,NOUN,synset
670,NOUN,synset
671,NOUN,synset
672,NOUN,synset
673,NOUN,synset
674,NOUN,synset
675,NOUN,synset
676,NOUN,synset
677,NOUN,synset
678,NOUN,synset
679,NOUN,synset
680,NOUN,synset
681,NOUN,synset
682,NOUN,synset
683,NOUN,synset
684,NOUN,synset
685,NOUN,synset
686,NOUN,synset
687,NOUN,synset
688,NOUN,synset
689,NOUN,synset
690,NOUN,synset
691,NOUN,synset
692,NOUN,synset
693,NOUN,synset
694,NOUN,synset
695,NOUN,synset
696,NOUN,synset
697,NOUN,synset
698,NOUN,synset
699,NOUN,synset
700,NOUN,synset
701,NOUN,synset
702,NOUN,synset
703,NOUN,synset
704,NOUN,synset
705,NOUN,synset
706,NOUN,synset
707,NOUN,synset
708,NOUN,synset
709,NOUN,synset
710,NOUN,synset
711,NOUN,synset
712,NOUN,synset
713,NOUN,synset
714,NOUN,synset
715,NOUN,synset
716,NOUN,synset
717,NOUN,synset
718,NOUN,synset
719,NOUN,synset
720,NOUN,synset
721,NOUN,synset
722,NOUN,synset
723,NOUN,synset
724,NOUN,synset
725,NOUN,synset
726,NOUN,synset
727,NOUN,synset
728,NOUN,synset
729,NOUN,synset
730,NOUN,synset
731,NOUN,synset
732,NOUN,synset
733,NOUN,synset
734,NOUN,synset
735,NOUN,synset
736,NOUN,synset
737,NOUN,synset
738,NOUN,synset
739,NOUN,synset
740,NOUN,synset
741,NOUN,synset
742,NOUN,synset
743,NOUN,synset
744,NOUN,synset
745,NOUN,synset
746,NOUN,synset
747,NOUN,synset
748,NOUN,synset
749,NOUN,synset
750,NOUN,synset
751,NOUN,synset
752,NOUN,synset
753,NOUN,synset
754,NOUN,synset
755,NOUN,synset
756,NOUN,synset
757,NOUN,synset
758,NOUN,synset
759,NOUN,synset
760,NOUN,synset
761,NOUN,synset
762,NOUN,synset
763,NOUN,synset
764,NOUN,synset
765,NOUN,synset
766,NOUN,synset
767,NOUN,synset
768,NOUN,synset
769,NOUN,synset
770,NOUN,synset
771,NOUN,synset
772,NOUN,synset
773,NOUN,synset
774,NOUN,synset
775,NOUN,synset
776,NOUN,synset
777,NOUN,synset
778,NOUN,synset
779,NOUN,synset
780,NOUN,synset
781,NOUN,synset
782,NOUN,synset
783,NOUN,synset
784,NOUN,synset
785,NOUN,synset
786,NOUN,synset
787,NOUN,synset
788,NOUN,synset
789,NOUN,synset
790,NOUN,synset
791,NOUN,synset
792,NOUN,synset
793,NOUN,synset
794,NOUN,synset
795,NOUN,synset
796,NOUN,synset
797,NOUN,synset
798,NOUN,synset
799,NOUN,synset
800,NOUN,synset
801,NOUN,synset
802,NOUN,synset
803,NOUN,synset
804,NOUN,synset
805,NOUN,synset
806,NOUN,synset
807,NOUN,synset
808,NOUN,synset
809,NOUN,synset
810,NOUN,synset
811,NOUN,synset
812,NOUN,synset
813,NOUN,synset
814,NOUN,synset
815,NOUN,synset
816,NOUN,synset
817,NOUN,synset
818,NOUN,synset
819,NOUN,synset
820,NOUN,synset
821,NOUN,synset
822,NOUN,synset
823,NOUN,synset
824,NOUN,synset
825,NOUN,synset
826,NOUN,synset
827,NOUN,synset
828,NOUN,synset
829,NOUN,synset
830,NOUN,synset
831,NOUN,synset
832,NOUN,synset
833,NOUN,synset
834,NOUN,synset
835,NOUN,synset
836,NOUN,synset
837,NOUN,synset
838,NOUN,synset
839,NOUN,synset
840,NOUN,synset
841,NOUN,synset
842,NOUN,synset
843,NOUN,synset
844,NOUN,synset
845,NOUN,synset
846,NOUN,synset
847,NOUN,synset
848,NOUN,synset
849,NOUN,synset
850,NOUN,synset
851,NOUN,synset
852,NOUN,synset
853,NOUN,synset
854,NOUN,synset
855,NOUN,synset
856,NOUN,synset
857,NOUN,synset
858,NOUN,synset
859,NOUN,synset
860,NOUN,synset
861,NOUN,synset
862,NOUN,synset
863,NOUN,synset
864,NOUN,synset
865,NOUN,synset
866,NOUN,synset
867,NOUN,synset
868,NOUN,synset
869,NOUN,synset
870,NOUN,synset
871,NOUN,synset
872,NOUN,synset
873,NOUN,synset
874,NOUN,synset
875,NOUN,synset
876,NOUN,synset
877,NOUN,synset
878,NOUN,synset
879,NOUN,synset
880,NOUN,synset
881,NOUN,synset
882,NOUN,synset
883,NOUN,synset
884,NOUN,synset
885,NOUN,synset
886,NOUN,synset
887,NOUN,synset
888,NOUN,synset
889,NOUN,synset
890,NOUN,synset
891,NOUN,synset
892,NOUN,synset
893,NOUN,synset
894,NOUN,synset
895,NOUN,synset
896,NOUN,synset
897,NOUN,synset
898,NOUN,synset
899,NOUN,synset
900,NOUN,synset
901,NOUN,synset
902,NOUN,synset
903,NOUN,synset
904,NOUN,synset
905,NOUN,synset
906,NOUN,synset
907,NOUN,synset
908,NOUN,synset
909,NOUN,synset
910,NOUN,synset
911,NOUN,synset
912,NOUN,synset
913,NOUN,synset
914,NOUN,synset
915,NOUN,synset
916,NOUN,synset
917,NOUN,synset
918,NOUN,synset
919,NOUN,synset
920,NOUN,synset
921,NOUN,synset
922,NOUN,synset
923,NOUN,synset
924,NOUN,synset
925,NOUN,synset
926,NOUN,synset
927,NOUN,synset
928,NOUN,synset
929,NOUN,synset
930,NOUN,synset
931,NOUN,synset
932,NOUN,synset
933,NOUN,synset
934,NOUN,synset
935,NOUN,synset
936,NOUN,synset
937,NOUN,synset
938,NOUN,synset
939,NOUN,synset
940,NOUN,synset
941,NOUN,synset
942,NOUN,synset
943,NOUN,synset
944,NOUN,synset
945,NOUN,synset
946,NOUN,synset
947,NOUN,synset
948,NOUN,synset
949,NOUN,synset
950,NOUN,synset
951,NOUN,synset
952,NOUN,synset
953,NOUN,synset
954,NOUN,synset
955,NOUN,synset
956,NOUN,synset
957,NOUN,synset
958,NOUN,synset
959,NOUN,synset
960,NOUN,synset
961,NOUN,synset
962,NOUN,synset
963,NOUN,synset
964,NOUN,synset
965,NOUN,synset
966,NOUN,synset
967,NOUN,synset
968,NOUN,synset
969,NOUN,synset
970,NOUN,synset
971,NOUN,synset
972,NOUN,synset
973,NOUN,synset
974,NOUN,synset
975,NOUN,synset
976,NOUN,synset
977,NOUN,synset
978,NOUN,synset
979,NOUN,synset
980,NOUN,synset
981,NOUN,synset
982,NOUN,synset
983,NOUN,synset
984,NOUN,synset
985,NOUN,synset
986,NOUN,synset
987,NOUN,synset
988,NOUN,synset
989,NOUN,synset
990,NOUN,synset
991,NOUN,synset
992,NOUN,synset
993,NOUN,synset
994,NOUN,synset
995,NOUN,synset
996,NOUN,synset
997,NOUN,synset
998,NOUN,synset
999,NOUN,synset
1000,NOUN,synset
1001,NOUN,synset
1002,NOUN,synset
1003,NOUN,synset
1004,NOUN,synset
1005,NOUN,synset
1006,NOUN,synset
1007,NOUN,synset
1008,NOUN,synset
1009,NOUN,synset
1010,NOUN,synset
1011,NOUN,synset
1012,NOUN,synset
1013,NOUN,synset
1014,NOUN,synset
1015,NOUN,synset
1016,NOUN,synset
1017,NOUN,synset
1018,NOUN,synset
1019,NOUN,synset
1020,NOUN,synset
1021,NOUN,synset
1022,NOUN,synset
1023,NOUN,synset
1024,NOUN,synset
1025,NOUN,synset
1026,NOUN,synset
1027,NOUN,synset
1028,NOUN,synset
1029,NOUN,synset
1030,NOUN,synset
1031,NOUN,synset
1032,NOUN,synset
1033,NOUN,synset
1034,NOUN,synset
1035,NOUN,synset
1036,NOUN,synset
1037,NOUN,synset
1038,NOUN,synset
1039,NOUN,synset
1040,NOUN,synset
1041,NOUN,synset
1042,NOUN,synset
1043,NOUN,synset
1044,NOUN,synset
1045,NOUN,synset
1046,NOUN,synset
1047,NOUN,synset
1048,NOUN,synset
1049,NOUN,synset
1050,NOUN,synset
1051,NOUN,synset
1052,NOUN,synset
1053,NOUN,synset
1054,NOUN,synset
1055,NOUN,synset
1056,NOUN,synset
1057,NOUN,synset
1058,NOUN,synset
1059,NOUN,synset
1060,NOUN,synset
1061,NOUN,synset
1062,NOUN,synset
1063,NOUN,synset
1064,NOUN,synset
1065,NOUN,synset
1066,NOUN,synset
1067,NOUN,synset
1068,NOUN,synset
1069,NOUN,synset
1070,NOUN,synset
1071,NOUN,synset
1072,NOUN,synset
1073,NOUN,synset
1074,NOUN,synset
