Word,SID
563,26584
564,32141
565,32141
566,73960
567,35313
568,26935
569,35313
570,58287
571,48184
572,43459
573,43489
574,43460
575,13774
576,13775
577,47859
578,48923
579,48923
580,58286
581,74467
582,28091
583,73374
584,73373
585,2054
586,35922
587,4789
588,52019
589,65011
590,65012
591,46311
592,14139
593,14140
594,52020
595,72244
596,72254
597,61260
598,61260
599,48163
600,49606
601,48924
602,48924
603,48925
604,47021
605,10989
606,65857
607,10989
608,77678
609,61535
610,63007
611,63010
612,63011
613,63012
614,63014
615,63015
616,63016
617,63017
618,63018
619,44678
620,44678
621,52022
622,52021
623,14141
624,35805
625,43898
626,74287
627,14142
628,32061
629,73489
630,31978
631,14142
632,81011
633,81011
634,80885
635,52024
636,52023
637,52022
638,2918
639,26480
640,26480
641,44700
642,44706
643,44691
644,14143
645,38986
646,44707
647,44708
648,47203
649,46204
650,51487
651,68568
652,68569
653,73885
654,68033
655,28650
656,8035
657,8036
658,8031
659,9829
660,9830
661,63418
662,63419
663,63419
664,13880
665,13881
666,29806
667,74700
668,75459
669,75540
670,8915
671,8916
672,13470
673,13469
674,11321
675,11322
676,75460
677,75461
678,13859
679,13861
680,13862
681,68035
682,68033
683,68036
684,74546
685,46841
686,46841
687,14144
688,77531
689,74429
690,76759
691,77531
692,9032
693,9031
694,76759
695,9011
696,9012
697,76759
698,77532
699,76379
700,9041
701,29780
702,33978
703,74825
704,74400
705,48921
706,44268
707,77532
708,81229
709,27816
710,1598
711,81289
712,72044
713,14147
714,14145
715,78166
716,14146
717,80162
718,14147
719,14148
720,38243
721,76665
722,38371
723,37987
724,36463
725,36463
726,6430
727,7665
728,38139
729,37988
730,6430
731,26432
732,26432
733,33227
734,807
735,73982
736,38466
737,70925
738,25694
739,291
740,4056
741,76547
742,35281
743,807
744,77453
745,52025
746,78781
747,28392
748,28387
749,14149
750,34009
751,14150
752,1317
753,34009
754,14153
755,80716
756,52026
757,26090
758,25775
759,71170
760,70707
761,70190
762,38473
763,28392
764,1094
765,14152
766,14151
767,52026
768,52027
769,52028
770,29305
771,52029
772,69595
773,29306
774,29306
775,29935
776,29307
777,47083
778,36719
779,33150
780,39157
781,39156
782,32742
783,36689
784,39224
785,8135
786,8138
787,8136
788,8137
789,8131
790,8130
791,35774
792,35774
793,71171
794,71171
795,71171
796,49021
797,35802
798,39521
799,38474
800,31326
801,14154
802,6132
803,872
804,52031
805,14155
806,470
807,55638
808,39071
809,37714
810,4166
811,52032
812,29308
813,52032
814,52033
815,106
816,52
817,30724
818,74179
819,38470
820,36205
821,26064
822,38480
823,38470
824,5501
825,5501
826,14156
827,18260
828,52034
829,71295
830,55642
831,55303
832,73964
833,38694
834,34826
835,35721
836,70774
837,36031
838,34842
839,48884
840,28358
841,28301
842,71061
843,52036
844,76949
845,52036
846,70774
847,25848
848,3114
849,52035
850,2919
851,36036
852,30858
853,3114
854,71071
855,70774
856,45571
857,71067
858,43641
859,32283
860,32283
861,71071
862,71079
863,71077
864,14152
865,14152
866,47729
867,5777
868,71172
869,73011
870,71175
871,71174
872,71173
873,70246
874,77532
875,77532
876,77532
877,1811
878,71074
879,1811
880,5719
881,32435
882,31333
